state,value
Alabama,0.743906832
Alaska,1
Arizona,0.998600093
Arkansas,0.713108614
California,0.97826087
Colorado,0.967516976
Connecticut,1
Florida,0.974229692
Georgia,0.543089225
Hawaii,1
Idaho,1
Illinois,0.716841238
Indiana,0.766066838
Iowa,0.809047721
Kansas,0.997716895
Kentucky,0.862695925
Louisiana,0.561302682
Maine,0.515151515
Maryland,1
Massachusetts,0.764966438
Michigan,1
Minnesota,1
Mississippi,1
Missouri,0.883976261
Montana,1
Nebraska,0.867427568
Nevada,0.909445232
New Mexico,0.992805755
New York,0.999600639
North Carolina,0.725354549
North Dakota,1
Ohio,0.59842981
Oklahoma,0.864942529
Oregon,1
Pennsylvania,0.863357501
Rhode Island,1
South Carolina,0.530533321
South Dakota,0.96
Tennessee,0.922085646
Texas,0.910722053
Utah,0.745378151
Virginia,1
Vermont,0.803789306616407
Washington,1
West Virginia,1
Wisconsin,0.511455682
Wyoming,1
