state,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
Alabama,0.6640625,,,,,,,,,,,,0.5,1,0.834921715,0.424016282,,,,,,1,0.5625,0,
Alaska,0.5,,,,,,,,,,,1,,,,,,,,,,0,,,
Arizona,0.284306414,,,,,,,1,,,,0,,,1,0.5,,0,0.835365854,0,0.386761229,0.201000455,0.007541786,0.001536098,
Arkansas,0.411365564,,,,,,,,,,,,,,0.390992167,0.592664093,1,,,,,,0,0,
California,0.249882445,,,,,,,,,,,0,,,,,,0.642319277,0.479754158,0,0.391521197,0,0.22869945,0.270538785,
Colorado,0.193019404,,,,,,,,0,0,,0.930232558,0.974554707,,0.779310345,0.057291667,0,,0.195041816,0.538329027,0,0.178701456,0.071816151,0.140913356,0
Connecticut,1,,,,,,,,,,,,,,,,1,,,,,,,,
Delaware,1,,,,,,,,,,,,,,,,,,,,1,1,,,
Florida,0.136148638,,,,,,,,,,,0,,,0.383152174,0.330586371,0,0,0.003780069,0.199392058,0.180623772,0.083725183,0.087767142,0.069761392,0
Georgia,0.389623681,,,,,,,,,,,0.5,,,0.401216256,0.504424779,,,1,0.475225225,,,0.339285714,0.28372591,
Hawaii,0.951612903,,,,,,,,,,,,,,,0.951612903,,,,,,,,,
Idaho,0.633053222,,,,,,,,,,,,,,0.5,0.703389831,,,,,,,,0,
Illinois,0.211832889,,,,,,1,0.358704794,,,,0,,1,0.5,0.306968917,,,,0,0,0.421348315,0.046897899,0.142361111,
Indiana,0.095284596,,,,,,,,,,,,0.5,0.5,0.5,0.966367713,0.461063994,0.353886616,,0.170708955,0.148532641,0.077262415,0.007707519,0.004345027,
Iowa,0.40336053,,,,0,0.76744186,0.751226878,0.89408867,1,0.827497865,0.786090458,0.92694889,0.781491003,0.432995976,0.38963964,0.457272727,1,0.861344538,0.075697211,0,0,0.064600551,0.001309497,0.052574776,
Kansas,0.274461293,,,,,,,,,,,,0.5,0.5,,,,,,0.323432836,0.446015424,,0.176800748,0.092870544,
Kentucky,0.35971831,,,,,,,,,,,,,,,0.28627451,0.5,0.914,0,,,,0.212837838,0.5,
Louisiana,0.216815775,,,,,,,,,,,,,,0.109042553,0.364457831,,,0,,1,0.430463576,0.052843483,0.339351285,0.074380165
Maine,0.074345039,,,,,,,,,,,,,,,,,,0.5,0.5,0.460504202,0,0.03640257,0.034739454,
Maryland,0.873263017,,,,,,,,,,,,1,1,,1,0.765423493,,,,,0.778481013,0.835294118,,
Massachusetts,0.632709552,,,,0,,,0.663232964,0.959459459,1,0.748237368,0.894210889,0.732220039,0.436446886,0.474878444,,,,0,0,0,0,0,0,
Michigan,0.315533981,,,,,,,,,,,,,,0.5,0.645139361,1,0.75,0.5,,,0,0.374902572,0,
Minnesota,0.058978212,,,,,,,,,,,,,,,,,,,,0,0,0.077726433,0.091864592,
Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,0.189558051,,,,,,,,,,1,,,1,0.5,0.223684211,,,1,1,1,0.128508588,0.089618389,0.159904707,
Montana,0,,,,,,,,,,,,,,,,,,,,,,0,0,
Nebraska,0.222834901,,,,,,,,,,,,,0.469090909,0,,0,0,,,1,0.338229683,0.090632603,0.227651183,
Nevada,0.147871061,,,,0,,,1,0,0,1,0.877419355,,,0.647488318,0.935687264,1,0.1858458,0.514725872,0.160925295,0.011426774,0.015434911,0.114161125,0.166360083,
New Hampshire,0.09362389,,,,,0,0,,0,0.514285714,1,0,,,,0.648734177,0.052631579,0,0.166599598,0.483116883,0,0.003316878,0.067571721,0,
New Jersey,0,,,,,,,,,,,,,,,,,,,,,,,0,
New Mexico,0.125,,,,,,,,0,,,,,,,,,,,,,,,0.166666667,
New York,0.022322608,,,0.5,,,,,,,,0,,,,,,0,0.078059072,,,0,0.032101271,0.00209205,
North Carolina,0.060185001,,,,,,,,,,,,,,0.001650165,,,0.764211886,0.21473029,0.122510561,0.237182559,0.043718166,0.016364831,0.028848179,
North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,0.156575345,,,,,,,0,0,0.088414634,0.995708155,1,0.833333333,1,0.693274205,0.245288028,0,0.037028725,0.303012454,0.151738362,0.03221706,0.022637795,0.114128776,0.038171536,
Oklahoma,0.468543047,,,,,,,,,,,,,,0.467204844,0.474654378,,,,,,,,,
Oregon,0.765822784,,,,,,,,,,,,,,,,1,0.756578947,,,,,,,
Pennsylvania,0.165373315,,,,,,,1,0.921336207,0.235135135,,,,,1,1,0.676869351,0.086402266,0.213723353,0.275700935,0.111675524,0.179503754,0.04475372,0.057914938,
Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,0.514174793,,,,,,,,,1,0.860615883,0.878225806,0.661512027,0.475881262,0.320400729,,,,,,,,,,
South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,0.352065749,,,,,,,,,,,,,,0.662593985,0.536809816,,0,0,0,0,,,,
Texas,0.203880545,,,,,,,,,,,0,,,0.825222755,0.821428571,,,,,,0.190630048,0.099058037,0.077448211,
Utah,0.248246844,,,,,,,,,,,,,,0,0.143736018,,,,,,,0.479423868,0.375328084,
Vermont,0.569221628,,,,,,,,,1,1,0.784431138,0.692307692,0.52228164,0.435669456,0.5,,,,,,,0,0.214285714,0.5
Virginia,0.137418854,,,,,,,,,,,,,,0.5,0.5,,0,0.00327291,0.107221007,,0,0.174464779,0.196649317,
Washington,0.923529412,,,,,,,,,,,1,,,,,,,,,,,,0.5,
West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,0.142542373,,,,,,,1,0.774193548,0,0.004115226,0.007722008,,,1,0.179796108,0.533470508,0.130392157,0.5,0,0.254010695,0.090229578,0.086605555,0.028366664,
Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,
